,name,market,sectorCode,sectorName,industryCode,industryName,tradingDate,marketCap,close,volume,amount,returnOn1Day,returnOn1Week,returnOn1Month,returnOn3Months,returnOn6Months,returnOn1Year,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyTwoWeekHighPct,fiftyTwoWeekLowPct,shares,sharesOutstanding,sharesPreferred,sharesFloating,sharesFloatingRate,foreignSharesHolding,foreignRate,foreignSharesLimit,foreignRateByLimit,numbersDate,trailingRevenue,trailingProfit,trailingNetProfit,trailingProfitRate,trailingEps,trailingPs,trailingPe,trailingPeg,yoyRevenue,yoyProfit,yoyNetProfit,yoyProfitRate,yoyEps,fiscalMonth,ifrsType,fiscalRevenue,fiscalRevenueGrowth,fiscalProfit,fiscalProfitGrowth,fiscalProfitRate,fiscalProfitRateGrowth,fiscalNetProfit,fiscalNetProfitGrowth,fiscalAsset,fiscalAssetGrowth,fiscalCapital,fiscalDebt,fiscalDebtGrowth,fiscalDebtRatio,fiscalRetentionRate,fiscalDividendYield,fiscalPayoutRatio,fiscalPayoutRatioGrowth,returnOnAsset,returnOnEquity,fiscalEps,fiscalEpsGrowth,fiscalPe,fiscalPriceToBook,fiscalDps,fiscalDpsGrowth,estimation,estimatedMonth,targetPrice,targetPricePct,nOfEstimations,estimatedRevenue,estimatedRevenueGrowth,estimatedProfit,estimatedProfitRate,estimatedProfitGrowth,estimatedProfitRateGrowth,estimatedNetProfit,estimatedNetProfitGrowth,estimatedAsset,estimatedAssetGrowth,estimatedDebt,estimatedDebtGrowth,estimatedEps,estimatedEpsGrowth,estimatedPe,forwardEps,forwardPe,forwardPeg,estimatedDps,estimatedDpsGrowth,estimatedPayoutRatio,estimatedPayoutRatioGrowth,wicsDate,groupByMarketCap,industryNameKrx,industryPe,products,ipo,beta
005930,삼성전자,kospi,G45,IT,WI620,반도체,20260327,1066718753544400,180200,24405715,4268629142800,0.06,-9.63,-11.45,54.02,109.29,191.59,218000,53000,-17.34,240.0,5919637922,5919637922,815974664,4454330965,75.25,2894900363,48.91,5919637922,48.91,20260325,3336059,436012,452067,13.07,6566.0,3.2,27.44,0.17,23.82,209.17,153.3,149.59,156.86,2025/12,D,3336059,10.88,436011,33.23,13.07,20.13,452068,31.22,5669421,10.19,4363203,1306218,16.27,29.94,47912.58,1.39,21.84,-12.85,8.36,10.85,6887.76,32.61,27.44,2.82,1668.0,15.35,4.0,2026/12(E),252720.0,-28.7,25.0,5231547,56.82,1979997,37.85,354.12,189.59,1680822,271.81,7384412,30.25,1497199,14.62,24478.0,272.91,7.36,26694.92,6.75,0.21,2406.0,44.24,8.47,-61.22,20260326,kosdaq150,통신 및 방송 장비 제조업,39.15,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",19750611,1.217
000660,SK하이닉스,kospi,G45,IT,WI620,반도체,20260327,659962389990000,926000,3746288,3375542187100,-0.75,-8.04,-9.04,54.59,159.75,347.34,1099000,164800,-15.74,461.89,712702365,712702365,0,535866157,75.19,379224660,53.22,712702365,53.22,20260325,971467,472064,429479,48.59,58955.0,6.79,15.71,0.17,66.07,137.17,90.42,42.82,90.23,2025/12,D,971467,46.76,472063,101.16,48.59,37.07,429479,116.94,1761077,46.93,1206668,554409,20.68,45.95,3235.91,0.46,5.09,-37.16,29.02,44.15,62855.34,116.89,15.83,5.57,3000.0,36.12,4.0,2026/12(E),1335200.0,-30.65,25.0,2347649,141.66,1651292,70.34,249.8,44.76,1343990,212.93,3126255,77.52,648028,16.89,186967.0,217.14,4.95,205578.51,4.5,0.11,3814.0,27.13,2.07,-59.33,20260326,kosdaq150,반도체 제조업,39.15,"반도체,컴퓨터,통신기기 제조,도매",19961226,1.54
005380,현대차,kospi,G25,경기관련소비재,WI300,자동차,20260327,101457473053000,495500,974787,469310272000,1.12,-4.16,-13.37,73.25,128.34,133.18,674000,177500,-26.48,179.15,204757766,204757766,60632342,134582278,65.73,57188593,27.94,204757766,27.94,20260325,1862545,114679,103648,6.16,35246.0,0.54,14.06,-0.26,0.46,-39.93,-52.15,-40.17,-53.85,2025/12,D,1862545,6.29,114679,-19.46,6.16,-24.23,103648,-21.66,3688448,8.55,1276482,2411966,9.87,188.95,7678.49,3.37,19.76,4.05,2.93,8.41,36121.12,-23.26,13.87,1.12,10000.0,-16.67,4.0,2026/12(E),681923.0,-27.34,26.0,1944794,4.42,128810,6.62,12.32,7.47,121175,16.91,3740722,1.42,2377983,-1.41,42258.0,19.61,11.73,44102.11,11.24,0.03,11520.0,15.2,19.47,-1.47,20260326,kosdaq150,자동차용 엔진 및 자동차 제조업,13.79,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",19740628,1.038
373220,LG에너지솔루션,kospi,G45,IT,WI630,IT가전,20260327,91377000000000,390500,314218,120152594250,1.56,3.99,-8.33,1.83,8.02,9.54,514000,268000,-24.03,45.71,234000000,234000000,0,47159956,20.15,11632733,4.97,234000000,4.97,20260325,236718,-3007,808,-1.27,-4585.0,3.86,-85.17,,-4.8,적자지속,적자지속,적자지속,적자지속,2025/12,D,236718,-7.6,-3007,적자지속,-1.27,적자지속,808,-76.14,671480,11.34,293217,378263,28.92,129.0,17178.25,,,,0.13,-5.19,,적자지속,,4.45,,,3.9,2026/12(E),528227.0,-26.07,23.0,268786,13.55,13120,4.88,흑자전환,흑자전환,5462,575.99,705768,5.11,399953,5.73,1229.0,흑자전환,317.74,2957.29,132.05,-2.17,,,,,20260326,kosdaq150,일차전지 및 이차전지 제조업,39.15,"2차전지 (소형,ESS,자동차전지)",20220127,0.919
207940,삼성바이오로직스,kospi,G35,건강관리,WI410,건강관리,20260327,73602612090000,1590000,18676,29361325000,0.32,-0.69,-7.99,-6.03,5.71,2.02,1965000,1458499,-19.08,9.02,46290951,46290951,0,11837675,25.57,5879008,12.7,46290951,12.7,20260325,45570,20692,17845,45.41,27142.0,16.15,58.58,0.56,49.59,15.63,58.63,-22.71,104.47,2025/12,D,45570,30.31,20692,56.59,45.41,20.16,17844,64.72,110607,-36.2,74511,36096,-43.88,48.44,8851.04,,,,12.57,19.44,26571.67,74.57,59.65,7.08,,,4.0,2026/12(E),2191429.0,-27.44,14.0,53743,17.94,24008,44.67,16.03,-1.63,18580,4.12,208757,88.74,65085,80.31,38723.0,45.73,41.06,40218.22,39.53,0.19,,,,,20260326,kosdaq150,기초 의약물질 제조업,77.78,바이오의약품,20161110,0.555
402340,SK스퀘어,kospi,G20,산업재,WI250,"상사,자본재",20260327,71723303445000,543000,513428,275321541500,-2.69,-10.69,-16.07,62.33,157.35,454.65,679000,75200,-20.03,622.07,132087115,132087115,0,89196954,67.53,65900843,49.88,132087115,49.88,20260325,104555,87974,88187,84.14,66514.0,6.86,8.16,0.07,72.69,86.65,124.57,8.09,124.01,2025/12,D,104556,77.76,87974,124.39,84.14,26.22,88187,141.58,305045,39.16,279832,25214,7.96,9.01,195508.51,,,,33.64,37.82,72023.81,143.06,8.4,2.66,,,4.0,2026/12(E),706667.0,-23.16,6.0,45112,-56.85,237582,526.65,170.06,525.92,224715,154.82,442402,45.03,26538,5.25,175753.0,164.42,3.09,216071.43,2.51,0.06,,,,,20260326,kosdaq150,기타 금융업,14.92,지주회사,20211129,1.664
012450,한화에어로스페이스,kospi,G20,산업재,WI250,"상사,자본재",20260327,68476196528000,1328000,175999,231807897000,-2.99,0.61,9.57,52.64,26.72,103.41,1488000,627000,-10.75,111.8,51563401,51563401,0,32308116,62.66,23143900,44.88,51563401,44.88,20260325,267029,30892,22019,11.57,27827.0,2.56,47.72,-0.69,74.53,-10.24,-51.72,-48.58,-69.22,2025/12,D,267029,137.57,30893,78.38,11.57,-24.92,22020,-13.3,539537,23.86,167882,371655,15.89,221.38,3490.57,0.74,16.39,161.82,4.52,19.14,29215.36,-38.15,47.92,7.27,7000.0,104.02,4.0,2026/12(E),1579706.0,-15.93,17.0,305442,14.39,43423,14.22,40.56,22.9,32156,46.03,592191,9.76,398552,7.24,45694.0,59.96,29.06,49804.34,26.66,0.21,4577.0,-34.61,7.34,-55.22,20260326,kosdaq150,"항공기,우주선 및 부품 제조업",13.79,"항공기엔진,특수방산장비 제조/정비사업",19870527,0.578
034020,두산에너빌리티,kospi,G20,산업재,WI230,기계,20260327,62967160651800,98300,3117106,301916673650,-2.58,-10.31,-4.75,33.56,53.59,292.42,109600,20150,-10.31,387.84,640561146,640561146,0,442603719,69.1,154522196,24.12,640561146,24.12,20260325,170579,7628,2051,4.47,132.0,3.69,744.7,,5.9,-9.74,흑자전환,-14.84,흑자전환,2025/12,D,170579,5.08,7627,-25.05,4.47,-28.71,2052,-48.01,275132,4.55,120094,155039,5.8,129.1,138.36,,,,0.76,1.11,134.55,-24.14,762.55,8.3,,,4.0,2026/12(E),131182.0,-25.07,12.0,176091,3.23,11088,6.3,45.38,40.94,5544,170.18,279614,1.63,154665,-0.24,553.0,318.94,177.76,660.27,148.88,5.96,,,,,20260326,kosdaq150,일반 목적용 기계 제조업,132.77,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",20001025,1.209
000270,기아,kospi,G25,경기관련소비재,WI300,자동차,20260327,60748262488800,155600,620883,94712734500,0.58,-7.66,-20.65,29.88,52.55,58.94,206000,82000,-24.47,89.76,390412998,390412998,0,235833377,60.41,151084003,38.69,390412998,38.69,20260324,1141408,90782,75542,7.95,19088.0,0.53,8.15,-0.59,3.46,-32.17,-15.53,-34.47,-13.91,2025/12,D,1141409,6.23,90781,-28.33,7.95,-32.57,75542,-22.72,989791,6.71,611905,377886,2.36,61.76,2768.26,5.58,35.14,32.9,7.88,12.92,19517.92,-21.72,8.09,0.98,6800.0,4.62,4.0,2026/12(E),213615.0,-27.16,26.0,1218809,6.78,102719,8.43,13.15,6.04,84722,12.15,1062486,7.34,399661,5.76,21827.0,14.21,7.13,22719.42,6.85,0.01,6760.0,-0.59,31.15,-11.35,20260326,kosdaq150,자동차용 엔진 및 자동차 제조업,13.79,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",19730721,0.868
105560,KB금융,kospi,G40,금융,WI500,은행,20260327,57008834569500,152900,881882,132495105550,0.46,-1.48,-8.83,22.71,33.77,90.65,168800,70500,-9.42,116.88,372850455,372850455,0,292494028,78.45,284443317,76.31,372850455,76.31,20260325,219345,85313,58505,38.89,15155.0,2.6,10.09,0.9,nan,71.61,13.46,nan,11.22,2025/12(P),D,304914,4.63,85312,6.04,27.98,20.45,58505,16.34,7578455,5.88,598152,6980304,6.23,1166.98,2728.19,3.83,29.37,18.24,0.68,8.86,12470.78,23.23,11.98,1.01,4367.0,37.59,4.0,2026/12(E),192176.0,-20.44,17.0,299177,-1.88,86317,28.85,1.18,9.32,61922,5.84,8342184,10.08,7703062,10.35,16633.0,6.23,9.19,16526.55,9.25,0.01,4672.0,6.98,29.69,1.09,20260326,kosdaq150,기타 금융업,14.92,-,20081010,0.669
